Caption,Image URL
"ΟΜΠΡΕΛΕΣ, Διαστάσεις γλυπτού: 40×18,5×35 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 40,5×18,7×40,5 εκ. –
                            Κωδ.: SCL-17","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/dscf0001-1-300x283.jpg"
"ΠΟΣΕΙΔΩΝΑΣ, Διαστάσεις γλυπτού: 44x33x15 εκ. – Κωδ.:
                            SCL-16","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/dscf0145-600x816.jpg"
"ΟΜΠΡΕΛΕΣ, Διαστάσεις γλυπτού: 39x17x36 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 40x18x40 εκ. – Κωδ.:
                            SCL-15","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/ksylo-282x300.jpg"
"ΟΛΥΜΠΙΑΚΟΙ ΚΥΚΛΟΙ, Διαστάσεις γλυπτού: 12x8x11,5
                            εκ., Διαστάσεις με θήκη πλεξιγκλάς: 16x10x15 εκ. –
                            Κωδ.: SCL-01","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-01-n-300x233.jpg"
"ΟΛΥΜΠΙΑΚΟΙ ΚΥΚΛΟΙ, Διαστάσεις γλυπτού: 17x10x15,5
                            εκ., Διαστάσεις με θήκη πλεξιγκλάς: 20x14x20 εκ. –
                            Κωδ.: SCL-02","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-02-n-1-300x192.jpg"
"ΟΜΠΡΕΛΑ, Διαστάσεις γλυπτού: 34x9x32 εκ., Διαστάσεις
                            με θήκη πλεξιγκλάς: 40x15x40 εκ. – Κωδ.: SCL-03","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-03-n-4-300x208.jpg"
"ΠΟΣΕΙΔΩΝΑΣ, Διαστάσεις γλυπτού: 16x10x22 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 20x13x29 εκ. – Κωδ.:
                            SCL-05","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-05-n-600x825.jpg"
"ΟΜΠΡΕΛΕΣ, Διαστάσεις γλυπτού: 20x9x23 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 26x11x26 εκ. – Κωδ.:
                            SCL-07","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-07-n-2-300x203.jpg"
"ΟΜΠΡΕΛΑ, Διαστάσεις γλυπτού: 25×10,5×38 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 33x15x40 εκ., Κωδ.:
                            SCL-08","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-08-n-300x225.jpg"
"ΚΕΝΟ & ΣΦΑΙΡΑ, Διαστάσεις γλυπτού: 19x7x13 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 24x12x21 εκ. – Κωδ.:
                            SCL-09","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-09-n-1-300x190.jpg"
"ΧΩΡΙΣ ΤΙΤΛΟ, Διαστάσεις γλυπτού: 19x7x13 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 24x12x21 εκ. – Κωδ.:
                            SCL-10","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-10-300x200.jpg"
"4 ΕΠΟΧΕΣ, Διαστάσεις γλυπτού: 39x8x15 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 44x13x18 εκ. – Κωδ.:
                            SCL-11","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-11-n-300x195.jpg"
"4 ΕΠΟΧΕΣ, Διαστάσεις γλυπτού: 25x5x9 εκ., Διαστάσεις
                            με θήκη πλεξιγκλάς: 25x10x12 εκ. – Κωδ.: SCL-12","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-12-n-300x204.jpg"
"4 ΕΠΟΧΕΣ, Διαστάσεις γλυπτού: 39x8x15 εκ.,
                            Διαστάσεις με θήκη πλεξιγκλάς: 44x13x18 εκ. – Κωδ.:
                            SCL-13","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-13-n-300x146.jpg"
"4 ΕΠΟΧΕΣ, Διαστάσεις γλυπτού: 25x5x9 εκ., Διαστάσεις
                            με θήκη πλεξιγκλάς: 25x10x12 εκ., Κωδ.: SCL-14","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/scl-14-n-300x200.jpg"
"ΧΩΡΙΣ ΤΙΤΛΟ, μεταξοτυπία – Κωδ.: SLN-01, Διαστάσεις
                            με κορνίζα και τζάμι: 82×81 εκ. / Διαστάσεις χωρίς
                            κορνίζα: 77×76 εκ.","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/dscf5763-275x300.jpg"
"ΧΩΡΙΣ ΤΙΤΛΟ, μεταξοτυπία – Κωδ.: SLN-02, Διαστάσεις
                            με κορνίζα και τζάμι: 125×81 εκ. / Διαστάσεις χωρίς
                            κορνίζα: 120×76 εκ.","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/dscf5768-187x300.jpg"
"ΟΛΥΜΠΙΑΚΟΙ ΚΥΚΛΟΙ, σκουλαρίκια σε μασίφ ασήμι 925
                            επιπλατινωμένο – Κωδ.: SP-E-01-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sp-e-01-n-600x450.jpg"
"ΣΥΝΘΕΣΗ, σκουλαρίκια σε μασίφ ασήμι 925 – Κωδ.:
                            SR-E-01-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sr-e-01-n-1-600x400.jpg"
"ΣΥΝΘΕΣΗ, σκουλαρίκια σε μασίφ ασήμι 925 επιχρυσωμένο
                            με 24Κ – Κωδ.: SG-E-01-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sg-e-01-n-2-600x400.jpg"
"ΣΥΝΘΕΣΗ, περιδέραιο σε μασίφ ασήμι 925 επιχρυσωμένο
                            με 24Κ – Κωδ.: SG-P-01-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sg-p-01-n-1-600x400.jpg"
"ΠΟΥΛΙ, περιδέραιο σε μασίφ ασήμι 925 επιχρυσωμένο με
                            24Κ – Κωδ.: SG-P-03-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sg-p-03-n-600x450.jpg"
"ΟΛΥΜΠΙΑΚΟΙ ΚΥΚΛΟΙ, περιδέραιο σε μασίφ ασήμι 925
                            επιπλατινωμένο – Κωδ.: SP-P-03-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sp-p-03-n-1-600x450.jpg"
"ΔΙΑΦΡΑΓΜΑ, περιδέραιο σε μασιφ ασήμι 925 οξειδωμένο
                            – Κωδ.: SR-P-06-B-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sr_p_06_b-267x300.jpg"
"ΔΙΑΦΡΑΓΜΑ, περιδέραιο σε μασιφ ασήμι 925 – Κωδ.:
                            SR-P-06-S-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sr_p_06_s-232x300.jpg"
"ΣΥΝΘΕΣΗ, περιδέραιο σε μασίφ ασήμι 925 – Κωδ.:
                            SR-P-01-N","https://www.zongolopoulos.gr/wp-content/uploads/2022/11/sr-p-01-n-600x450.jpg"
